R.1,R.2,R.3,score,rebuild
0.56,0.42,0.02,-0.36719999999999997,FALSE
0.55,0.43,0.02,-0.36386,FALSE
0.54,0.44,0.02,-0.36052,FALSE
0.53,0.45,0.02,-0.35718,FALSE
0.52,0.46,0.02,-0.35384,FALSE
0.51,0.47,0.02,-0.35050000000000003,FALSE
0.5,0.48,0.02,-0.34716,FALSE
0.49,0.49,0.02,-0.34382,FALSE
0.48,0.5,0.02,-0.34048,FALSE
0.47,0.51,0.02,-0.33714,FALSE
0.46,0.52,0.02,-0.3338,FALSE
0.45,0.53,0.02,-0.33046,FALSE
0.44,0.54,0.02,-0.32711999999999997,FALSE
0.43,0.55,0.02,-0.32377999999999996,FALSE
0.42,0.56,0.02,-0.32043999999999995,FALSE
0.41,0.57,0.02,-0.31710000000000005,FALSE
0.4,0.58,0.02,-0.31376000000000004,FALSE
0.39,0.59,0.02,-0.31042000000000003,FALSE
0.38,0.6,0.02,-0.30708,FALSE
0.37,0.61,0.02,-0.30374,FALSE
0.36,0.62,0.02,-0.3004,FALSE
0.35,0.63,0.02,-0.29706,FALSE
0.34,0.64,0.02,-0.29372,FALSE
0.33,0.65,0.02,-0.29037999999999997,FALSE
0.32,0.66,0.02,-0.28703999999999996,FALSE
0.31,0.67,0.02,-0.28369999999999995,FALSE
0.3,0.68,0.02,-0.28036,FALSE
0.29,0.69,0.02,-0.27702000000000004,FALSE
0.28,0.7,0.02,-0.27368000000000003,FALSE
0.27,0.71,0.02,-0.27034,FALSE
0.26,0.72,0.02,-0.267,FALSE
0.25,0.73,0.02,-0.26366,FALSE
0.24,0.74,0.02,-0.26032,FALSE
0.23,0.75,0.02,-0.25698,FALSE
0.22,0.76,0.02,-0.25364,FALSE
0.21,0.77,0.02,-0.25029999999999997,FALSE
0.2,0.78,0.02,-0.24695999999999996,FALSE
0.19,0.79,0.02,-0.24361999999999995,FALSE
0.18,0.8,0.02,-0.24027999999999994,FALSE
0.17,0.81,0.02,-0.23693999999999993,FALSE
0.16,0.82,0.02,-0.23360000000000003,FALSE
0.15,0.83,0.02,-0.23026000000000002,FALSE
0.14,0.84,0.02,-0.22692,FALSE
0.13,0.85,0.02,-0.22358,FALSE
0.12,0.86,0.02,-0.22024,FALSE
0.11,0.87,0.02,-0.21689999999999998,FALSE
0.1,0.88,0.02,-0.21355999999999997,FALSE
0.09,0.89,0.02,-0.21021999999999996,FALSE
0.08,0.9,0.02,-0.20687999999999995,FALSE
0.07,0.91,0.02,-0.20353999999999994,FALSE
0.06,0.92,0.02,-0.20019999999999993,FALSE
0.05,0.93,0.02,-0.19686000000000003,FALSE
0.04,0.94,0.02,-0.19352000000000003,FALSE
0.03,0.95,0.02,-0.19018000000000002,FALSE
0.02,0.96,0.02,-0.18684,FALSE
0.01,0.97,0.02,-0.1835,FALSE
0,0.98,0.02,-0.18016,FALSE
0.97,0,0.03,-0.50322,FALSE
0.96,0.01,0.03,-0.49988,FALSE
0.95,0.02,0.03,-0.49654000000000004,FALSE
0.94,0.03,0.03,-0.4932,FALSE
0.93,0.04,0.03,-0.48986,FALSE
0.92,0.05,0.03,-0.48652,FALSE
0.91,0.06,0.03,-0.48318,FALSE
0.9,0.07,0.03,-0.47984,FALSE
0.89,0.08,0.03,-0.47650000000000003,FALSE
0.88,0.09,0.03,-0.47316,FALSE
0.87,0.1,0.03,-0.46982,FALSE
0.86,0.11,0.03,-0.46648,FALSE
0.85,0.12,0.03,-0.46314,FALSE
0.84,0.13,0.03,-0.4598,FALSE
0.83,0.14,0.03,-0.45646,FALSE
